"Gene","log2FC","pvalue","padj","baseMean"
"MYO5A",-1.38326136847394,4.99180405005044e-21,1.08126816423267e-18,5826.39602545503
"LINC02454",-3.23546628308934,5.43001912706139e-21,1.16772756651884e-18,48.5515547952138
"HELLS",1.28526092614106,6.02451362170338e-21,1.28631972271398e-18,1274.90649098193
"XRCC1",0.775402190171258,1.03533437222952e-20,2.19490886912658e-18,1513.78148292304
"ARHGAP26",1.65820196886484,1.0555221466351e-20,2.22194845121242e-18,1510.91089414246
"SPRR4",-4.09143082978589,1.09959157511006e-20,2.28466433902798e-18,622.307957506074
"COL4A6",-2.7682840297509,1.10060104650083e-20,2.28466433902798e-18,2862.10418321393
"TMPO",1.06230327178626,1.2375381191456e-20,2.55120616948278e-18,6276.48505274852
"RORB-AS1",4.75484038024049,1.3145769964948e-20,2.69146134104265e-18,2.92071883588769
"PIDD1",1.11697266556566,1.38822504026863e-20,2.80383938538581e-18,759.975536135269
"AC046185.3",1.81112326501671,1.38546816163044e-20,2.80383938538581e-18,109.037999653686
"AL807752.1",1.90754812118836,1.44111055855834e-20,2.89111924942456e-18,10.6750969039182
"ENPP6",3.72018543106731,1.49726364715719e-20,2.98374699605484e-18,74.4093701997267
"TMEM178B",3.58759636741353,1.98132931115598e-20,3.92224475291884e-18,624.15957132974
"REXO5",1.32652480345806,2.47098662459381e-20,4.85939027515515e-18,223.143382885496
"COLCA1",4.4610515596964,2.53731189081745e-20,4.95721091766767e-18,694.026329166842
"CTSE",3.96171459459825,2.64503304204863e-20,5.1341121878518e-18,64.1121543152866
"AC055736.1",-4.44771938613712,2.89214567020783e-20,5.57754957250662e-18,18.7632649289528
"HMGN2P15",2.24741400721955,2.94196859015402e-20,5.63726442928744e-18,11.1364173625026
"MXD3",1.45610492920101,2.98095714008446e-20,5.67559049881558e-18,323.309906715687
"MAMDC4",2.17150766863705,3.09649452941655e-20,5.85825408058984e-18,163.319119961888
"CDA",-3.0837284415709,3.23770762929715e-20,6.08689034307865e-18,2192.40332222155
"MMP13",-4.38273203112599,3.73972735576266e-20,6.9433496967986e-18,14531.5551251431
"USP1",0.80116933607865,3.72523161215695e-20,6.9433496967986e-18,3467.78404643647
"UBXN11",1.25040908789929,3.78477895834426e-20,6.98361806313744e-18,579.959104077825
"GCSAM",1.53578497811279,4.05760742322421e-20,7.44110436165754e-18,229.223978059853
"ASF1B",1.23746644048741,4.43464317489292e-20,8.08294840145726e-18,2151.72006994612
"INHBA",-2.46781933511402,4.80166929603883e-20,8.69887870286017e-18,9212.94953485273
"PCBD2",0.969715203599471,5.28212479205227e-20,9.51164302915822e-18,526.732340773315
"CRIM1-DT",-1.58287973060942,5.43456031013193e-20,9.7275375323631e-18,45.0404883471918
"C6orf15",-4.74636359546923,6.7245458248815e-20,1.19648883212713e-17,615.279783050776
"LIN54",0.785196057970794,7.21239440938551e-20,1.27569759577131e-17,1137.42380913478
"AC093512.2",1.39792893193459,7.2562712260996e-20,1.27590858523864e-17,37.1363731494535
"POLA1",0.964941964848903,7.3892918645815e-20,1.2917000726086e-17,1551.29894643364
"CBX7",1.56390426788987,9.23236172123147e-20,1.60449858471541e-17,902.042476430935
"AL162595.1",1.60616145707061,9.92927767941003e-20,1.71564143579725e-17,420.194212222634
"ZBTB8B",3.49275379010977,1.28686197351744e-19,2.21074012140134e-17,6.65127138177279
"HMGA2",-3.1355976053588,1.65747788590289e-19,2.83116165516624e-17,2736.53195250856
"MAGI3",1.13118674714286,1.91083241311194e-19,3.24537514163308e-17,1191.94950212476
"TMEM158",-1.94691561853908,2.0247758737564e-19,3.41946895018793e-17,676.170829166468
"RUNDC3A-AS1",-2.56367999598465,2.08406474659474e-19,3.49982378680955e-17,45.2696525322049
